20251102 203000;0.877500;0.877530;0.877480;0.877490;0
20251102 203100;0.877480;0.877520;0.877480;0.877510;0
20251102 203200;0.877510;0.877540;0.877490;0.877520;0
20251102 203300;0.877530;0.877570;0.877530;0.877570;0
20251102 203400;0.877560;0.877590;0.877550;0.877570;0
20251102 203500;0.877580;0.877580;0.877530;0.877550;0
20251102 203600;0.877560;0.877590;0.877540;0.877590;0
20251102 203700;0.877560;0.877620;0.877560;0.877620;0
20251102 203800;0.877620;0.877620;0.877600;0.877610;0
20251102 203900;0.877600;0.877630;0.877590;0.877590;0
20251102 204000;0.877590;0.877640;0.877590;0.877600;0
20251102 204100;0.877600;0.877660;0.877590;0.877630;0
20251102 204200;0.877620;0.877620;0.877570;0.877590;0
20251102 204300;0.877580;0.877620;0.877570;0.877620;0
20251102 204400;0.877610;0.877640;0.877590;0.877600;0
20251102 204500;0.877600;0.877660;0.877580;0.877590;0
20251102 204600;0.877580;0.877640;0.877580;0.877600;0
20251102 204700;0.877610;0.877650;0.877610;0.877620;0
20251102 204800;0.877630;0.877670;0.877610;0.877660;0
20251102 204900;0.877670;0.877670;0.877610;0.877620;0
20251102 205000;0.877610;0.877610;0.877560;0.877580;0
20251102 205100;0.877570;0.877600;0.877560;0.877570;0
20251102 205200;0.877560;0.877600;0.877550;0.877560;0
20251102 205300;0.877550;0.877570;0.877540;0.877550;0
20251102 205400;0.877550;0.877560;0.877530;0.877560;0
20251102 205500;0.877580;0.877600;0.877560;0.877590;0
20251102 205600;0.877600;0.877610;0.877520;0.877540;0
20251102 205700;0.877530;0.877560;0.877510;0.877510;0
20251102 205800;0.877520;0.877540;0.877490;0.877530;0
20251102 205900;0.877540;0.877590;0.877530;0.877560;0
20251102 210000;0.877570;0.877600;0.877560;0.877590;0
20251102 210100;0.877600;0.877650;0.877590;0.877620;0
20251102 210200;0.877610;0.877610;0.877560;0.877590;0
20251102 210300;0.877580;0.877600;0.877560;0.877590;0
20251102 210400;0.877590;0.877590;0.877560;0.877580;0
20251102 210500;0.877580;0.877580;0.877560;0.877580;0
20251102 210600;0.877560;0.877580;0.877550;0.877570;0
20251102 210700;0.877560;0.877580;0.877520;0.877530;0
20251102 210800;0.877530;0.877540;0.877480;0.877490;0
20251102 210900;0.877490;0.877590;0.877470;0.877580;0
20251102 211000;0.877580;0.877590;0.877530;0.877530;0
20251102 211100;0.877530;0.877570;0.877510;0.877540;0
20251102 211200;0.877530;0.877540;0.877520;0.877520;0
20251102 211300;0.877540;0.877540;0.877470;0.877470;0
20251102 211400;0.877480;0.877540;0.877470;0.877510;0
20251102 211500;0.877520;0.877570;0.877520;0.877520;0
20251102 211600;0.877520;0.877520;0.877480;0.877500;0
20251102 211700;0.877500;0.877520;0.877490;0.877510;0
20251102 211800;0.877510;0.877540;0.877480;0.877540;0
20251102 211900;0.877560;0.877560;0.877520;0.877520;0
20251102 212000;0.877530;0.877560;0.877510;0.877560;0
20251102 212100;0.877550;0.877550;0.877510;0.877540;0
20251102 212200;0.877550;0.877570;0.877530;0.877570;0
20251102 212300;0.877540;0.877570;0.877520;0.877530;0
20251102 212400;0.877560;0.877560;0.877510;0.877540;0
20251102 212500;0.877530;0.877540;0.877510;0.877530;0
20251102 212600;0.877550;0.877550;0.877550;0.877550;0
20251102 212700;0.877550;0.877580;0.877530;0.877530;0
20251102 212800;0.877550;0.877570;0.877510;0.877550;0
20251102 212900;0.877550;0.877550;0.877510;0.877550;0
20251102 213000;0.877540;0.877570;0.877510;0.877560;0
20251102 213100;0.877570;0.877570;0.877510;0.877540;0
20251102 213200;0.877510;0.877550;0.877510;0.877550;0
20251102 213300;0.877560;0.877570;0.877540;0.877550;0
20251102 213400;0.877550;0.877570;0.877540;0.877540;0
20251102 213500;0.877560;0.877580;0.877550;0.877570;0
20251102 213600;0.877570;0.877590;0.877540;0.877570;0
20251102 213700;0.877560;0.877610;0.877560;0.877590;0
20251102 213800;0.877580;0.877630;0.877580;0.877630;0
20251102 213900;0.877610;0.877610;0.877610;0.877610;0
20251102 214000;0.877620;0.877670;0.877620;0.877670;0
20251102 214100;0.877660;0.877670;0.877660;0.877670;0
20251102 214200;0.877660;0.877720;0.877660;0.877700;0
20251102 214300;0.877690;0.877710;0.877680;0.877680;0
20251102 214400;0.877670;0.877710;0.877650;0.877650;0
20251102 214500;0.877660;0.877690;0.877640;0.877660;0
20251102 214600;0.877660;0.877670;0.877650;0.877660;0
20251102 214700;0.877620;0.877690;0.877610;0.877660;0
20251102 214800;0.877670;0.877720;0.877670;0.877700;0
20251102 214900;0.877720;0.877770;0.877700;0.877760;0
20251102 215000;0.877750;0.877750;0.877700;0.877710;0
20251102 215100;0.877720;0.877750;0.877720;0.877720;0
20251102 215200;0.877710;0.877720;0.877710;0.877710;0
20251102 215300;0.877730;0.877730;0.877700;0.877710;0
20251102 215400;0.877700;0.877730;0.877700;0.877700;0
20251102 215500;0.877720;0.877730;0.877700;0.877730;0
20251102 215600;0.877720;0.877720;0.877700;0.877700;0
20251102 215700;0.877720;0.877720;0.877690;0.877700;0
20251102 215800;0.877690;0.877710;0.877640;0.877650;0
20251102 215900;0.877650;0.877720;0.877640;0.877650;0
20251102 220000;0.877650;0.877690;0.877630;0.877690;0
20251102 220100;0.877690;0.877710;0.877670;0.877710;0
20251102 220200;0.877690;0.877700;0.877670;0.877680;0
20251102 220300;0.877670;0.877750;0.877670;0.877750;0
20251102 220400;0.877770;0.877780;0.877760;0.877760;0
20251102 220500;0.877740;0.877750;0.877740;0.877740;0
20251102 220600;0.877710;0.877740;0.877700;0.877740;0
20251102 220700;0.877750;0.877750;0.877750;0.877750;0
20251102 220800;0.877750;0.877750;0.877750;0.877750;0
20251102 220900;0.877730;0.877740;0.877700;0.877700;0
20251102 221000;0.877700;0.877700;0.877700;0.877700;0
20251102 221100;0.877710;0.877760;0.877710;0.877750;0
20251102 221200;0.877750;0.877750;0.877710;0.877740;0
20251102 221300;0.877730;0.877750;0.877730;0.877730;0
20251102 221400;0.877730;0.877760;0.877730;0.877740;0
20251102 221500;0.877750;0.877760;0.877730;0.877760;0
20251102 221600;0.877770;0.877780;0.877770;0.877780;0
20251102 221700;0.877750;0.877750;0.877730;0.877730;0
20251102 221800;0.877740;0.877760;0.877720;0.877720;0
20251102 221900;0.877740;0.877750;0.877700;0.877700;0
20251102 222000;0.877720;0.877720;0.877680;0.877690;0
20251102 222100;0.877690;0.877710;0.877680;0.877680;0
20251102 222200;0.877690;0.877710;0.877680;0.877690;0
20251102 222300;0.877680;0.877700;0.877680;0.877700;0
20251102 222400;0.877690;0.877760;0.877690;0.877750;0
20251102 222500;0.877760;0.877760;0.877760;0.877760;0
20251102 222600;0.877730;0.877730;0.877700;0.877700;0
20251102 222700;0.877690;0.877690;0.877630;0.877630;0
20251102 222800;0.877620;0.877650;0.877610;0.877630;0
20251102 222900;0.877650;0.877650;0.877570;0.877600;0
20251102 223000;0.877580;0.877660;0.877570;0.877650;0
20251102 223100;0.877640;0.877650;0.877590;0.877640;0
20251102 223200;0.877640;0.877640;0.877590;0.877600;0
20251102 223300;0.877580;0.877590;0.877540;0.877550;0
20251102 223400;0.877560;0.877560;0.877530;0.877530;0
20251102 223500;0.877530;0.877560;0.877530;0.877560;0
20251102 223600;0.877560;0.877560;0.877560;0.877560;0
20251102 223700;0.877550;0.877570;0.877530;0.877550;0
20251102 223800;0.877550;0.877600;0.877550;0.877580;0
20251102 223900;0.877580;0.877600;0.877580;0.877590;0
20251102 224000;0.877580;0.877610;0.877570;0.877600;0
20251102 224100;0.877580;0.877600;0.877570;0.877590;0
20251102 224200;0.877590;0.877630;0.877580;0.877610;0
20251102 224300;0.877640;0.877640;0.877600;0.877610;0
20251102 224400;0.877600;0.877610;0.877600;0.877610;0
20251102 224500;0.877620;0.877620;0.877620;0.877620;0
20251102 224600;0.877630;0.877670;0.877610;0.877670;0
20251102 224700;0.877660;0.877670;0.877660;0.877660;0
20251102 224800;0.877680;0.877680;0.877680;0.877680;0
20251102 224900;0.877690;0.877700;0.877680;0.877690;0
20251102 225000;0.877690;0.877690;0.877650;0.877670;0
20251102 225100;0.877690;0.877710;0.877690;0.877710;0
20251102 225200;0.877720;0.877720;0.877690;0.877710;0
20251102 225300;0.877700;0.877710;0.877700;0.877710;0
20251102 225400;0.877700;0.877720;0.877700;0.877720;0
20251102 225500;0.877730;0.877750;0.877720;0.877750;0
20251102 225600;0.877730;0.877750;0.877730;0.877740;0
20251102 225700;0.877730;0.877770;0.877730;0.877770;0
20251102 225800;0.877780;0.877780;0.877780;0.877780;0
20251102 225900;0.877780;0.877790;0.877770;0.877780;0
20251102 230000;0.877780;0.877780;0.877700;0.877700;0
20251102 230100;0.877700;0.877710;0.877670;0.877710;0
20251102 230200;0.877710;0.877740;0.877700;0.877720;0
20251102 230300;0.877720;0.877740;0.877710;0.877710;0
20251102 230400;0.877740;0.877740;0.877720;0.877720;0
20251102 230500;0.877730;0.877730;0.877700;0.877710;0
20251102 230600;0.877720;0.877720;0.877680;0.877690;0
20251102 230700;0.877690;0.877750;0.877690;0.877700;0
20251102 230800;0.877700;0.877710;0.877660;0.877680;0
20251102 230900;0.877700;0.877720;0.877690;0.877710;0
20251102 231000;0.877700;0.877700;0.877670;0.877700;0
20251102 231100;0.877690;0.877700;0.877660;0.877670;0
20251102 231200;0.877660;0.877690;0.877650;0.877670;0
20251102 231300;0.877710;0.877710;0.877640;0.877650;0
20251102 231400;0.877640;0.877680;0.877640;0.877650;0
20251102 231500;0.877660;0.877680;0.877640;0.877650;0
20251102 231600;0.877660;0.877660;0.877660;0.877660;0
